Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-05-09,302100,252300,103800,9282100,2600,21460401,7717800,645900,5864500,148900,3572200,321100,2817800,783400,8691800,272000
2007-05-10,217500,245400,81900,13188000,3900,36068799,7107600,1279000,4053300,223700,6853400,437700,4697400,1408100,11591600,796400
2007-05-11,185100,204600,29800,9817900,800,20625201,5221300,1013400,14692800,114100,4022000,307600,3159800,1520900,7684400,259200
2007-05-14,247300,443700,37800,10566600,2700,28167600,5654900,432300,7747400,83300,4154600,134700,2049500,639500,7327900,731200
2007-05-15,260700,248800,30400,20261900,1800,26976900,6407400,537800,4856200,189700,3212200,204600,2805100,963700,10074200,616200
2007-05-16,238600,286200,18800,14622800,5800,17903601,5276200,528500,2856100,213500,3265200,152100,6082400,2125800,10822800,291200
2007-05-17,212200,193800,7400,11313600,4200,17577801,3831600,350000,2899900,50300,2331900,229400,3394300,1234600,9282700,276400
2007-05-18,429900,186600,32400,9172000,5000,16133601,3777600,652900,1481800,242000,2713000,148700,3243500,561100,7522100,445200
2007-05-21,315900,280500,44400,12495600,8900,33177501,7646400,2196600,3140000,209100,8901400,339100,5222400,2074500,16607100,814800
2007-05-22,352700,181100,10900,8864600,2700,21106299,3576000,400700,2947800,87400,7020600,236400,2382100,1415100,8446500,242200
2007-05-23,485300,251500,77600,10501600,3000,39336600,11032400,701900,2608300,241400,4167500,251600,3248600,891700,6461900,243000
2007-05-24,338400,254500,34400,26425500,12400,47469099,5894200,639700,4140600,50900,6305800,350200,5208100,1304100,12567800,719200
2007-05-25,222100,162600,32300,10037700,2400,19251999,6152500,349800,1933700,33600,2448000,164100,2948700,813500,5940300,356800
2007-05-29,222400,211400,18200,11266500,5600,18891300,5272300,1140900,3104600,28600,3708200,287800,2986600,956900,7987900,481400
2007-05-30,576900,290200,37300,13908500,174900,34458600,5113100,1138800,2840300,106200,5417100,130800,4421000,1249800,8087300,597000
2007-05-31,457600,323500,19800,8716900,37300,22363701,8839900,1028600,1986800,41100,5782400,864600,4902600,1048300,5731500,1061000
2007-06-01,706000,294400,24700,9151600,3000,20555901,3346100,635400,2573100,93100,3036500,216500,2960000,1808400,7275600,300400
2007-06-04,294600,404200,49400,7244800,5100,23090400,4430500,1075600,2305000,2589100,3685200,221600,2087400,1172100,6028400,224400
2007-06-05,243100,324200,9500,12922600,1400,26662500,3935300,1078100,2141400,583200,3237300,226000,2814000,1076900,6968800,677000
2007-06-06,999200,207200,50700,14620900,1700,40129701,5425600,2023700,4858100,419600,10819100,328700,4781400,2155600,12682300,435800
2007-06-07,310600,283100,117700,24675300,1300,63947700,9861100,2394200,4516200,626100,7091900,1006400,7544000,3082800,13407700,535800
2007-06-08,389100,390600,83600,18136300,1500,40578699,5083800,1911600,2143500,307800,5497400,391700,4638100,2955800,11575400,627200
2007-06-11,260300,138000,46000,10050900,6300,21643500,3568000,1045900,1986700,75600,6560400,361600,2674900,2557500,7899200,411400
2007-06-12,379500,123100,63700,19036200,600,30415299,6444300,1022500,1980600,69400,4690300,181100,3205800,1357200,11557900,411200
2007-06-13,404500,392800,79500,16561200,1000,31096101,7851700,516400,1276400,286900,6613000,287300,3001700,1424900,7853900,275000
2007-06-14,230300,512900,94400,12257800,5400,21661299,6380700,765100,1593000,35000,4793000,139200,2635600,2222100,7063600,336400
2007-06-15,463900,321200,76900,10706900,2600,41757999,4275200,3450800,2462400,18800,9106400,270400,3132600,1115300,7872100,230400
2007-06-18,241300,259600,28200,9704200,11400,13821300,4319700,1141800,4433100,40400,5688300,2048200,2916600,1304200,7077300,210800
